id,product_name,manufacturer,price,description
8e8be9b29d3b1a794a906510fad8a75d,Hornby R2981 London 2012 1948 Games 00 Gauge Limited Edition Train Pack,Hornby,,"Product Description 1948 was a year full of hope and anticipation. The Second World War had been over for three years and although there was still a feeling of austerity in Britain, London was chosen to host the 14th modern Olympic Games, some 40 years after the city hosted the Games for the first time.This London 1948 train pack, limited to just 1,948 features an exLNER Class N2 locomotive in the then newly applied nationalised British Railways livery, while the coaches show their heritage as LNER, still unpainted but with BR numbering applied. Box Contains BR Class N2 locomotiveBR (exLNER) Composite coachBR (exLNER) 3rd Brake coachNumbered limited edition certificate"
8a9af1fc5f227191c00447b0c44f7700,Gaugemaster HBYS Hornby Type Colour Light Signal for 12v DC,Gaugemaster,£5.95,Suitable for the following scale(s): OO Scalecan be used with 16v AC~ with a GM74 diode.
93a2c5173f17b896dc614ffbac0c2f2c,Hornby R3246TTS LNER 2-8-2 'Cock O' The North' P2 Class with TTS Sound,Hornby,£139.95,Suitable for the following scale(s): OO Scale
72c57da443c042d8d8bc88f353a5b016,Thomas and Friends Take-n-Play Elizabeth,Fisher-Price,£19.99,"Product Description Take-n-Play Elizabeth is a durable diecast vehicle from Thomas and Friends. It works with Fisher-Price Take-n-Play portable playsets. Elizabeth is a beautifully restored vintage steam wagon who, like all trucks on the island, believes that roads are much better than rails. She tends to wear a scowl and will be quick to correct the engines who comment on her age by exclaiming ""I'm not old--I'm vintage."" She has no patience for dawdlers. If you are here, you'd better be here to work."
efefa0150b69140f217da35f1f8a9e11,Faller 140322,Faller,£25.50,Suitable for the following scale(s): HO ScaleEra IV
b4130b0826214cc02b82b9481569b835,Topro LED Flashing Neon Sensory Maracas Light Up Maracas Toy,Topro,,"Ease and ready to us,They will float on the water"
e3284186ff6c2c43380001cc010338f0,Bachmann 32-882 Fairburn 2-6-4 Tank 42062 BR Lined Black Late Crest,Bachmann,£99.95,Suitable for the following scale(s): OO ScaleDetails:DCC Type: 8 Pin DCC ReadyLivery: BR Black L/CrestClass: FairburnEra: 5 (1957 - 1966)Purpose: FreightWheel Configuration: 2-6-4Finish: Pristine
e4bbad5854ce01970f9e6b879407f72d,Alps Glacier Express (Add-On 4-Car Set) (Model Train),Kato,£49.33,Suitable for the following scale(s): N Scale
9cfcb02573dc2bb4f04d8660dec33e84,Hornby Gloucester City Pullman Train Set,Hornby,£82.31,"Product Description Hornby R1177 ""00"" Scale Gloucester City Pullman Train Set Box Contains 1x Duke of gloucester train, 3 Cars, oval of track, wall plug transformer, power track, train controller and MidiMat"
0172e9caba8351ea12832e4c42e0c840,Dapol Model Railway Stanier 57ft Non-Corridor Coach - OO Gauge Plastic Kit,Dapol,£14.99,"Dapol OO Gauge Stanier 57ft non corridor coach in BR Carmine Red Livery, unlined. Plastic model kit. Manufacturers Description: William Stanier (1876-1965) was headhunted from the GWR to become Chief Mechanical Engineer of London, Midland and Scottish (LMS) Railways in 1932. With the support of the Chairman, Sir Josiah Stamp, Stanier is credited with modernising the LMS fleet of generally small steam locomotives with a larger, modern and more powerful array of designs. Soon after his appointment, Stanier also focused on refurbishing and standardising the Coach stock of the LMS and developed the Period III LMS coaches which later became known as Stanier Coaches. These designs were extremely popular and successful and many were still in service in the mid 1960s. There are many examples of Period III coaches operating on Heritage Railways throughout the UK today. The Dapol OO Model of the Stanier Coach is derived from refurbished Airfix/Mainline tooling originally purchased by Dapol in the 1980s. There are some compromises on detail accuracy due to the condition and usability of the 40+ year old tooling. However, we feel the model captures the essence of the Period III coach design well and offers an extremely affordable way of building up a fleet of pre or post nationalised fleet of LMS coaches. Dapol have strived to ensure livery and colour details have been captured and are comparable to the originals, including the roof level gold lines. The Kit comes complete with decorated body, all that is required is painting of the roof and other components and assembly. PLEASE NOTE THAT THIS ITEM IS NOT A TOY AND IS INTENDED FOR MODEL RAILWAY ENTHUSIASTS."
277d90230da7ccb046a7c17fe0da202b,Faller 140428,Faller,,"Suitable for the following scale(s): HO ScaleFaithful reproduction of the attraction built by Dutch manufacturer Mondial. After visitors have got on, the powerful supporting beam rises, then rotates, which causes the gondola arms arranged in a garland to rotate in the opposite direction, while their rows of seats additionally overturn several times. Fitted with two motors, control unit for the program sequence and lighting elements. Ready for connection to operate on 16 V AC."
